sparse_categorical_accuracy,sparse_top_k_categorical_accuracy,running_time,parameters,loss,power_draw,time_total,software,n_samples,batch_size,datadir,task,seconds,nogpu,architecture,dataset,model,externally_measured,diff,rel_diff
0.8195492625236511,0.9577656388282776,0.0013218356867266,88591464.0,0.7360077500343323,0.4206669475664747,118.36774207499548,Tensorflow 2.17.0,89548.0,4.0,/data/d1/fischer_diss/imagenet,Inference,120,0,NVIDIA GeForce RTX 4090,ImageNet (ILSVRC 2012),ConvNeXtBase,0.5226247375709117,0.10195779000443694,0.1950879525495154
0.7890625,0.95703125,0.467059229550756,88591464.0,0.7941158413887024,67.05538498468968,119.56716276499355,Tensorflow 2.17.0,256.0,4.0,/data/d1/fischer_diss/imagenet,Inference,120,1,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),ConvNeXtBase,98.4374999999986,31.382115015308912,0.31880243825076177
0.7920957803726196,0.9396657347679138,0.0010791319925926,50223688.0,0.9030688405036926,0.3159567408370765,119.45991158000106,Tensorflow 2.17.0,110700.0,4.0,/data/d1/fischer_diss/imagenet,Inference,120,0,NVIDIA GeForce RTX 4090,ImageNet (ILSVRC 2012),ConvNeXtSmall,0.3902439024390244,0.07428716160194793,0.19036085160499155
0.770348846912384,0.944767415523529,0.3511734617877876,50223688.0,0.957546055316925,49.17951511220407,120.80367085499893,Tensorflow 2.17.0,344.0,4.0,/data/d1/fischer_diss/imagenet,Inference,120,1,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),ConvNeXtSmall,73.25581395348732,24.076298841283247,0.3286605873572046
0.7770366072654724,0.9321070313453674,0.0005682414990142,28589128.0,0.9931131601333618,0.2044064757577174,118.74883549800144,Tensorflow 2.17.0,208976.0,4.0,/data/d1/fischer_diss/imagenet,Inference,120,0,NVIDIA GeForce RTX 4090,ImageNet (ILSVRC 2012),ConvNeXtTiny,0.2584028787994794,0.05399640304176198,0.20896208003806022
0.7645348906517029,0.9316860437393188,0.1742117894825643,28589128.0,1.0318560600280762,26.114821779616225,119.85771116400429,Tensorflow 2.17.0,688.0,4.0,/data/d1/fischer_diss/imagenet,Inference,120,1,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),ConvNeXtTiny,36.62790697674366,10.513085197127435,0.28702391331840393
0.6925210356712341,0.8828571438789368,0.0009710994438655,8062504.0,1.2993597984313965,0.2289399588083853,127.11691720199453,Tensorflow 2.17.0,130900.0,4.0,/data/d1/fischer_diss/imagenet,Inference,120,0,NVIDIA GeForce RTX 4090,ImageNet (ILSVRC 2012),DenseNet121,0.2750190985485103,0.04607913974012501,0.1675488719995101
0.6959525942802429,0.8845014572143555,0.0289350893139198,8062504.0,1.2847168445587158,2.556236885641125,117.24498190000304,Tensorflow 2.17.0,4052.0,4.0,/data/d1/fischer_diss/imagenet,Inference,120,1,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),DenseNet121,4.4422507403751235,1.8860138547339984,0.4245626744101201
0.7125658392906189,0.8955376744270325,0.0021386981178958,14307880.0,1.2585535049438477,0.3401960846386166,138.03157652899972,Tensorflow 2.17.0,64540.0,4.0,/data/d1/fischer_diss/imagenet,Inference,120,0,NVIDIA GeForce RTX 4090,ImageNet (ILSVRC 2012),DenseNet169,0.4462348930895569,0.10603880845094027,0.23763002421610016
0.7072368264198303,0.894138753414154,0.0340991828711115,14307880.0,1.287545919418335,3.144556828040276,114.02766752099706,Tensorflow 2.17.0,3344.0,4.0,/data/d1/fischer_diss/imagenet,Inference,120,1,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),DenseNet169,5.382775119617225,2.238218291576949,0.41581122039073987
0.72577965259552,0.8994212746620178,0.0028228652972351,20242984.0,1.173853635787964,0.4339986586192669,105.36062435400528,Tensorflow 2.17.0,37324.0,4.0,/data/d1/fischer_diss/imagenet,Inference,120,0,NVIDIA GeForce RTX 4090,ImageNet (ILSVRC 2012),DenseNet201,0.5787161075983281,0.14471744897906125,0.2500663919303001
0.7311557531356812,0.9007537961006165,0.0487443560406205,20242984.0,1.1650670766830444,4.252470059961558,116.40152222500184,Tensorflow 2.17.0,2388.0,4.0,/data/d1/fischer_diss/imagenet,Inference,120,1,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),DenseNet201,7.5376884422109045,3.2852183822493464,0.43583897204508865
0.7143908739089966,0.8943943381309509,0.0007546235479807,5330571.0,1.2707598209381104,0.1513819193912459,156.88321713099867,Tensorflow 2.17.0,207896.0,4.0,/data/d1/fischer_diss/imagenet,Inference,120,0,NVIDIA GeForce RTX 4090,ImageNet (ILSVRC 2012),EfficientNetB0,0.19047985531227152,0.03909793592102562,0.20526021429892782
