run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.sparse_categorical_accuracy,metrics.sparse_top_k_categorical_accuracy,metrics.running_time,metrics.parameters,metrics.loss,metrics.power_draw,metrics.time_total,params.software,params.n_samples,params.batch_size,params.datadir,params.task,params.seconds,params.nogpu,params.architecture,params.dataset,params.model,tags.mlflow.source.type,tags.mlflow.gitRepoURL,tags.mlflow.user,tags.mlflow.project.env,tags.mlflow.project.backend,tags.mlflow.source.git.commit,tags.mlflow.runName,tags.mlflow.source.git.repoURL,tags.mlflow.project.entryPoint,tags.mlflow.source.name
b88e1aa542244d71820277fa4b49bab6,422148156924771234,FAILED,file:///home/fischer/repos/mlprops/mlruns/422148156924771234/b88e1aa542244d71820277fa4b49bab6/artifacts,2024-10-23 09:00:13.570000+00:00,2024-10-23 09:00:25.261000+00:00,,,,,,,,Tensorflow 2.17.0,,4,/data/d1/fischer_diss/imagenet,Inference,120,1,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),EfficientNetB7,PROJECT,https://github.com/raphischer/mlprops.git,fischer,conda,local,a0822d66e4fec0d0de375a547481817c78d9028b,persistent-whale-182,https://github.com/raphischer/mlprops.git,main.py,file:///home/fischer/repos/mlprops#experiments/imagenet
b105b2d6b6d84c6ab4c3e6923fb48f7b,422148156924771234,FAILED,file:///home/fischer/repos/mlprops/mlruns/422148156924771234/b105b2d6b6d84c6ab4c3e6923fb48f7b/artifacts,2024-10-23 08:59:59.817000+00:00,2024-10-23 09:00:12.469000+00:00,,,,,,,,Tensorflow 2.17.0,,4,/data/d1/fischer_diss/imagenet,Inference,120,1,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),EfficientNetB7,PROJECT,https://github.com/raphischer/mlprops.git,fischer,conda,local,a0822d66e4fec0d0de375a547481817c78d9028b,classy-pug-793,https://github.com/raphischer/mlprops.git,main.py,file:///home/fischer/repos/mlprops#experiments/imagenet
453c374e087546fdbd7a2b19bf5207ce,422148156924771234,FINISHED,file:///home/fischer/repos/mlprops/mlruns/422148156924771234/453c374e087546fdbd7a2b19bf5207ce/artifacts,2024-10-23 08:57:24.642000+00:00,2024-10-23 08:59:57.972000+00:00,0.828558623790741,0.9624552130699158,0.0067268919631824214,66658687.0,0.8368602395057678,2.616975814018254,120.22301316599624,Tensorflow 2.17.0,17872.0,4,/data/d1/fischer_diss/imagenet,Inference,120,0,NVIDIA GeForce RTX 4090,ImageNet (ILSVRC 2012),EfficientNetB7,PROJECT,https://github.com/raphischer/mlprops.git,fischer,conda,local,a0822d66e4fec0d0de375a547481817c78d9028b,upbeat-duck-407,https://github.com/raphischer/mlprops.git,main.py,file:///home/fischer/repos/mlprops#experiments/imagenet
65d1b482c1084a358b3880d7ce0ccd6a,422148156924771234,FINISHED,file:///home/fischer/repos/mlprops/mlruns/422148156924771234/65d1b482c1084a358b3880d7ce0ccd6a/artifacts,2024-10-23 08:54:41.261000+00:00,2024-10-23 08:57:21.285000+00:00,0.8272870779037476,0.9645110368728638,0.09544123475078939,43265143.0,0.8117267489433289,26.989361184010594,121.01948566400095,Tensorflow 2.17.0,1268.0,4,/data/d1/fischer_diss/imagenet,Inference,120,1,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),EfficientNetB6,PROJECT,https://github.com/raphischer/mlprops.git,fischer,conda,local,a0822d66e4fec0d0de375a547481817c78d9028b,useful-bee-554,https://github.com/raphischer/mlprops.git,main.py,file:///home/fischer/repos/mlprops#experiments/imagenet
2279fea896114ea48648cd23c32bb888,422148156924771234,FINISHED,file:///home/fischer/repos/mlprops/mlruns/422148156924771234/2279fea896114ea48648cd23c32bb888/artifacts,2024-10-23 08:51:58.360000+00:00,2024-10-23 08:54:39.439000+00:00,0.8262065649032593,0.9619132876396179,0.004463500662092293,43265143.0,0.8213735222816467,1.4802155791936158,134.6548879740003,Tensorflow 2.17.0,30168.0,4,/data/d1/fischer_diss/imagenet,Inference,120,0,NVIDIA GeForce RTX 4090,ImageNet (ILSVRC 2012),EfficientNetB6,PROJECT,https://github.com/raphischer/mlprops.git,fischer,conda,local,a0822d66e4fec0d0de375a547481817c78d9028b,stylish-stag-0,https://github.com/raphischer/mlprops.git,main.py,file:///home/fischer/repos/mlprops#experiments/imagenet
861be70820b5481cb5dd93fa77e5aba9,422148156924771234,FINISHED,file:///home/fischer/repos/mlprops/mlruns/422148156924771234/861be70820b5481cb5dd93fa77e5aba9/artifacts,2024-10-23 08:49:23.628000+00:00,2024-10-23 08:51:55.034000+00:00,0.8299832344055176,0.9627302885055542,0.050473241473200675,30562527.0,0.7899845242500305,15.484456177653769,120.5301006380032,Tensorflow 2.17.0,2388.0,4,/data/d1/fischer_diss/imagenet,Inference,120,1,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),EfficientNetB5,PROJECT,https://github.com/raphischer/mlprops.git,fischer,conda,local,a0822d66e4fec0d0de375a547481817c78d9028b,omniscient-cow-256,https://github.com/raphischer/mlprops.git,main.py,file:///home/fischer/repos/mlprops#experiments/imagenet
6053883d935c40c0951fc44797812b01,422148156924771234,FINISHED,file:///home/fischer/repos/mlprops/mlruns/422148156924771234/6053883d935c40c0951fc44797812b01/artifacts,2024-10-23 08:46:49.427000+00:00,2024-10-23 08:49:21.763000+00:00,0.8272650837898254,0.9619290232658386,0.0030746781793569837,30562527.0,0.7905668020248413,0.8619755801508836,131.39944667300006,Tensorflow 2.17.0,42736.0,4,/data/d1/fischer_diss/imagenet,Inference,120,0,NVIDIA GeForce RTX 4090,ImageNet (ILSVRC 2012),EfficientNetB5,PROJECT,https://github.com/raphischer/mlprops.git,fischer,conda,local,a0822d66e4fec0d0de375a547481817c78d9028b,trusting-worm-317,https://github.com/raphischer/mlprops.git,main.py,file:///home/fischer/repos/mlprops#experiments/imagenet
f93bbb6d7b7e4fb88f4188ca0e1e0090,422148156924771234,FAILED,file:///home/fischer/repos/mlprops/mlruns/422148156924771234/f93bbb6d7b7e4fb88f4188ca0e1e0090/artifacts,2024-10-23 08:46:44.850000+00:00,2024-10-23 08:46:48.339000+00:00,,,,,,,,,,,/data/d1/fischer_diss/imagenet,,120,0,,,EfficientNetB5,PROJECT,https://github.com/raphischer/mlprops.git,fischer,conda,local,a0822d66e4fec0d0de375a547481817c78d9028b,intrigued-mule-277,https://github.com/raphischer/mlprops.git,main.py,file:///home/fischer/repos/mlprops#experiments/imagenet
c261bd36bb654ef8901a69849719de63,422148156924771234,FAILED,file:///home/fischer/repos/mlprops/mlruns/422148156924771234/c261bd36bb654ef8901a69849719de63/artifacts,2024-10-23 08:46:40.282000+00:00,2024-10-23 08:46:43.763000+00:00,,,,,,,,,,,/data/d1/fischer_diss/imagenet,,120,0,,,EfficientNetB5,PROJECT,https://github.com/raphischer/mlprops.git,fischer,conda,local,a0822d66e4fec0d0de375a547481817c78d9028b,inquisitive-lark-395,https://github.com/raphischer/mlprops.git,main.py,file:///home/fischer/repos/mlprops#experiments/imagenet
389471b6206f43d19f94d001b2a63445,422148156924771234,FAILED,file:///home/fischer/repos/mlprops/mlruns/422148156924771234/389471b6206f43d19f94d001b2a63445/artifacts,2024-10-23 08:46:29.046000+00:00,2024-10-23 08:46:39.202000+00:00,,,,,,,,Tensorflow 2.17.0,,4,/data/d1/fischer_diss/imagenet,Inference,120,0,NVIDIA GeForce RTX 4090,ImageNet (ILSVRC 2012),EfficientNetB5,PROJECT,https://github.com/raphischer/mlprops.git,fischer,conda,local,a0822d66e4fec0d0de375a547481817c78d9028b,lyrical-stoat-140,https://github.com/raphischer/mlprops.git,main.py,file:///home/fischer/repos/mlprops#experiments/imagenet
58aeb5e9ae7e4f0a88ebb655ef110e91,422148156924771234,FAILED,file:///home/fischer/repos/mlprops/mlruns/422148156924771234/58aeb5e9ae7e4f0a88ebb655ef110e91/artifacts,2024-10-23 08:46:24.210000+00:00,2024-10-23 08:46:27.893000+00:00,,,,,,,,,,,/data/d1/fischer_diss/imagenet,,120,0,,,EfficientNetB5,PROJECT,https://github.com/raphischer/mlprops.git,fischer,conda,local,a0822d66e4fec0d0de375a547481817c78d9028b,popular-crab-809,https://github.com/raphischer/mlprops.git,main.py,file:///home/fischer/repos/mlprops#experiments/imagenet
50f67f9d52154db78ffbe378bb71021f,422148156924771234,FAILED,file:///home/fischer/repos/mlprops/mlruns/422148156924771234/50f67f9d52154db78ffbe378bb71021f/artifacts,2024-10-23 08:46:19.545000+00:00,2024-10-23 08:46:23.098000+00:00,,,,,,,,,,,/data/d1/fischer_diss/imagenet,,120,0,,,EfficientNetB5,PROJECT,https://github.com/raphischer/mlprops.git,fischer,conda,local,a0822d66e4fec0d0de375a547481817c78d9028b,thoughtful-lamb-983,https://github.com/raphischer/mlprops.git,main.py,file:///home/fischer/repos/mlprops#experiments/imagenet
9baf9fd9c8fb4a8788ec69df3db45e93,422148156924771234,FAILED,file:///home/fischer/repos/mlprops/mlruns/422148156924771234/9baf9fd9c8fb4a8788ec69df3db45e93/artifacts,2024-10-23 08:46:07.234000+00:00,2024-10-23 08:46:18.419000+00:00,,,,,,,,Tensorflow 2.17.0,,4,/data/d1/fischer_diss/imagenet,Inference,120,0,NVIDIA GeForce RTX 4090,ImageNet (ILSVRC 2012),EfficientNetB5,PROJECT,https://github.com/raphischer/mlprops.git,fischer,conda,local,a0822d66e4fec0d0de375a547481817c78d9028b,delicate-mink-390,https://github.com/raphischer/mlprops.git,main.py,file:///home/fischer/repos/mlprops#experiments/imagenet
48eedca6ffdd404b97d2ce26f8e61d4d,422148156924771234,FINISHED,file:///home/fischer/repos/mlprops/mlruns/422148156924771234/48eedca6ffdd404b97d2ce26f8e61d4d/artifacts,2024-10-23 08:43:37.526000+00:00,2024-10-23 08:46:04.099000+00:00,0.8248420357704163,0.9591231942176819,0.024194457178317957,19466823.0,0.8605931997299194,7.127052557228317,122.52073115100212,Tensorflow 2.17.0,5064.0,4,/data/d1/fischer_diss/imagenet,Inference,120,1,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),EfficientNetB4,PROJECT,https://github.com/raphischer/mlprops.git,fischer,conda,local,a0822d66e4fec0d0de375a547481817c78d9028b,aged-cub-532,https://github.com/raphischer/mlprops.git,main.py,file:///home/fischer/repos/mlprops#experiments/imagenet
ac871ce75d254697a8bf8c26ca9178c0,422148156924771234,FINISHED,file:///home/fischer/repos/mlprops/mlruns/422148156924771234/ac871ce75d254697a8bf8c26ca9178c0/artifacts,2024-10-23 08:41:40.429000+00:00,2024-10-23 08:43:35.628000+00:00,0.8209450840950012,0.9589735269546509,0.0020067386990074935,19466823.0,0.8588065505027771,0.46275482165797943,96.65256269899692,Tensorflow 2.17.0,48164.0,4,/data/d1/fischer_diss/imagenet,Inference,120,0,NVIDIA GeForce RTX 4090,ImageNet (ILSVRC 2012),EfficientNetB4,PROJECT,https://github.com/raphischer/mlprops.git,fischer,conda,local,a0822d66e4fec0d0de375a547481817c78d9028b,handsome-zebra-166,https://github.com/raphischer/mlprops.git,main.py,file:///home/fischer/repos/mlprops#experiments/imagenet
e4e773a81b814ff8b2dc2cf5e0105798,422148156924771234,FAILED,file:///home/fischer/repos/mlprops/mlruns/422148156924771234/e4e773a81b814ff8b2dc2cf5e0105798/artifacts,2024-10-23 08:41:29.157000+00:00,2024-10-23 08:41:39.284000+00:00,,,,,,,,Tensorflow 2.17.0,,4,/data/d1/fischer_diss/imagenet,Inference,120,0,NVIDIA GeForce RTX 4090,ImageNet (ILSVRC 2012),EfficientNetB4,PROJECT,https://github.com/raphischer/mlprops.git,fischer,conda,local,a0822d66e4fec0d0de375a547481817c78d9028b,caring-wasp-961,https://github.com/raphischer/mlprops.git,main.py,file:///home/fischer/repos/mlprops#experiments/imagenet
1b7e121ee1e9415d8a7126f3ae2a8261,422148156924771234,FINISHED,file:///home/fischer/repos/mlprops/mlruns/422148156924771234/1b7e121ee1e9415d8a7126f3ae2a8261/artifacts,2024-10-23 08:39:21.690000+00:00,2024-10-23 08:41:25.860000+00:00,0.8027907013893127,0.9430232644081116,0.022829329347441675,12320535.0,0.8878684639930725,2.4096840558388744,98.1661161939992,Tensorflow 2.17.0,4300.0,4,/data/d1/fischer_diss/imagenet,Inference,120,1,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),EfficientNetB3,PROJECT,https://github.com/raphischer/mlprops.git,fischer,conda,local,a0822d66e4fec0d0de375a547481817c78d9028b,thundering-shad-835,https://github.com/raphischer/mlprops.git,main.py,file:///home/fischer/repos/mlprops#experiments/imagenet
5a5d0200d8844b8fb088e5333a370b42,422148156924771234,FINISHED,file:///home/fischer/repos/mlprops/mlruns/422148156924771234/5a5d0200d8844b8fb088e5333a370b42/artifacts,2024-10-23 08:37:26.766000+00:00,2024-10-23 08:39:19.769000+00:00,0.8015457987785339,0.9471181631088257,0.0013641241642627277,12320535.0,0.8822564482688904,0.28697892246898865,94.95395482599996,Tensorflow 2.17.0,69608.0,4,/data/d1/fischer_diss/imagenet,Inference,120,0,NVIDIA GeForce RTX 4090,ImageNet (ILSVRC 2012),EfficientNetB3,PROJECT,https://github.com/raphischer/mlprops.git,fischer,conda,local,a0822d66e4fec0d0de375a547481817c78d9028b,selective-panda-274,https://github.com/raphischer/mlprops.git,main.py,file:///home/fischer/repos/mlprops#experiments/imagenet
83acdb44d4194888802f4c45cc4ad3d1,422148156924771234,FINISHED,file:///home/fischer/repos/mlprops/mlruns/422148156924771234/83acdb44d4194888802f4c45cc4ad3d1/artifacts,2024-10-23 08:34:46.914000+00:00,2024-10-23 08:37:23.521000+00:00,0.776289165019989,0.9314964413642883,0.030185942261375505,9177569.0,1.0111384391784668,2.38492026107363,119.4155875860015,Tensorflow 2.17.0,3956.0,4,/data/d1/fischer_diss/imagenet,Inference,120,1,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),EfficientNetB2,PROJECT,https://github.com/raphischer/mlprops.git,fischer,conda,local,a0822d66e4fec0d0de375a547481817c78d9028b,glamorous-conch-305,https://github.com/raphischer/mlprops.git,main.py,file:///home/fischer/repos/mlprops#experiments/imagenet
9b1964667d33402ebcadfcfbe639a4d9,422148156924771234,FAILED,file:///home/fischer/repos/mlprops/mlruns/422148156924771234/9b1964667d33402ebcadfcfbe639a4d9/artifacts,2024-10-23 08:34:37.247000+00:00,2024-10-23 08:34:45.841000+00:00,,,,,,,,Tensorflow 2.17.0,,4,/data/d1/fischer_diss/imagenet,Inference,120,1,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),EfficientNetB2,PROJECT,https://github.com/raphischer/mlprops.git,fischer,conda,local,a0822d66e4fec0d0de375a547481817c78d9028b,colorful-horse-954,https://github.com/raphischer/mlprops.git,main.py,file:///home/fischer/repos/mlprops#experiments/imagenet
9bc8c74672fc4f3b80e5d239033e72ea,422148156924771234,FINISHED,file:///home/fischer/repos/mlprops/mlruns/422148156924771234/9bc8c74672fc4f3b80e5d239033e72ea/artifacts,2024-10-23 08:31:48.464000+00:00,2024-10-23 08:34:35.296000+00:00,0.7714080810546875,0.9315487146377563,0.001075331779015397,9177569.0,1.002656102180481,0.218014179326066,149.83673008800542,Tensorflow 2.17.0,139340.0,4,/data/d1/fischer_diss/imagenet,Inference,120,0,NVIDIA GeForce RTX 4090,ImageNet (ILSVRC 2012),EfficientNetB2,PROJECT,https://github.com/raphischer/mlprops.git,fischer,conda,local,a0822d66e4fec0d0de375a547481817c78d9028b,unequaled-swan-655,https://github.com/raphischer/mlprops.git,main.py,file:///home/fischer/repos/mlprops#experiments/imagenet
4769cb6f98b24d1f8acb20e3a25e980c,422148156924771234,FINISHED,file:///home/fischer/repos/mlprops/mlruns/422148156924771234/4769cb6f98b24d1f8acb20e3a25e980c/artifacts,2024-10-23 08:29:13.239000+00:00,2024-10-23 08:31:45.212000+00:00,0.757415235042572,0.9209745526313782,0.0251034217565683,7856239.0,1.0594371557235718,1.986758726441415,118.48815069100236,Tensorflow 2.17.0,4720.0,4,/data/d1/fischer_diss/imagenet,Inference,120,1,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),EfficientNetB1,PROJECT,https://github.com/raphischer/mlprops.git,fischer,conda,local,a0822d66e4fec0d0de375a547481817c78d9028b,aged-turtle-395,https://github.com/raphischer/mlprops.git,main.py,file:///home/fischer/repos/mlprops#experiments/imagenet
de488277d52040e092c8d56e125922b2,422148156924771234,FINISHED,file:///home/fischer/repos/mlprops/mlruns/422148156924771234/de488277d52040e092c8d56e125922b2/artifacts,2024-10-23 08:26:44.149000+00:00,2024-10-23 08:29:11.367000+00:00,0.7554177641868591,0.9204415678977966,0.000979448694550589,7856239.0,1.059691071510315,0.19016102547132466,130.16481371099508,Tensorflow 2.17.0,132896.0,4,/data/d1/fischer_diss/imagenet,Inference,120,0,NVIDIA GeForce RTX 4090,ImageNet (ILSVRC 2012),EfficientNetB1,PROJECT,https://github.com/raphischer/mlprops.git,fischer,conda,local,a0822d66e4fec0d0de375a547481817c78d9028b,bittersweet-flea-93,https://github.com/raphischer/mlprops.git,main.py,file:///home/fischer/repos/mlprops#experiments/imagenet
5daa019be257421294a6b0793573db3a,422148156924771234,FINISHED,file:///home/fischer/repos/mlprops/mlruns/422148156924771234/5daa019be257421294a6b0793573db3a/artifacts,2024-10-23 08:24:15.140000+00:00,2024-10-23 08:26:41+00:00,0.7160000205039978,0.8954285979270935,0.01663671766357168,5330571.0,1.2672804594039917,1.28252391363288,116.45702364500175,Tensorflow 2.17.0,7000.0,4,/data/d1/fischer_diss/imagenet,Inference,120,1,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),EfficientNetB0,PROJECT,https://github.com/raphischer/mlprops.git,fischer,conda,local,a0822d66e4fec0d0de375a547481817c78d9028b,upset-seal-997,https://github.com/raphischer/mlprops.git,main.py,file:///home/fischer/repos/mlprops#experiments/imagenet
b983924d48164429866b9aa239448e50,422148156924771234,FINISHED,file:///home/fischer/repos/mlprops/mlruns/422148156924771234/b983924d48164429866b9aa239448e50/artifacts,2024-10-23 08:21:23.621000+00:00,2024-10-23 08:24:13.179000+00:00,0.7143908739089966,0.8943943381309509,0.0007546235479807148,5330571.0,1.2707598209381104,0.15138191939124598,156.88321713099867,Tensorflow 2.17.0,207896.0,4,/data/d1/fischer_diss/imagenet,Inference,120,0,NVIDIA GeForce RTX 4090,ImageNet (ILSVRC 2012),EfficientNetB0,PROJECT,https://github.com/raphischer/mlprops.git,fischer,conda,local,a0822d66e4fec0d0de375a547481817c78d9028b,dashing-fish-470,https://github.com/raphischer/mlprops.git,main.py,file:///home/fischer/repos/mlprops#experiments/imagenet
